Lebensmittel;Kalorien;Brennwert;Proteine;Kohlenhydrate;Fett;Ballaststoffe;Vitamin A µg;Vitamin D µg;Vitamin E mg;Vitamin K µg;Vitamin B1 mg;Vitamin B2 mg;Vitamin B3 mg;Vitamin B5 mg;Vitamin B6 mg;Biotin µg;Vitamin B9 µg;Vitamin B12 µg;Vitamin C mg;Natrium mg;Kalium mg;Kalzium mg;Magnesium mg;Phosphor mg;Eisen mg;Zink mg;Kupfer mg;Mangan mg;Flour mg;Jod µg
Apfel frisch;48;200,8;0,2;10;0,4;2,5;8;0;0,5;0;0;0;0,2;0,1;0,1;0,6;6;0;10;2;130;7;6;10;0,4;0,1;0,1;0,1;0;1,6
Ananas frisch;56;234,3;0,5;12;0,2;1,2;10;0;0,1;10;0,1;0;0,3;0,2;0,1;0,5;11;0;20;2;200;16;17;9;0,4;0,3;0,1;0,2;0;1,4
Avocado frisch;212;887;2;4;20;2;17;5;2,2;8;0,1;0,2;1,8;1;0,5;10;30;0;14;3;500;10;30;40;0,6;0,4;0,2;0,2;0;2
Banane;88;368,2;1,1;19;0,2;3,4;35;0;0,3;10;0;0,1;0,9;0,2;0,4;5;22;0;11;1;380;8;40;28;0,5;0,2;0,2;0,5;0;3
Champignon frisch;22;92;2,8;1,5;0,3;2,5;2;2;0,1;13,5;0,1;0,4;4;1,6;0,1;11,2;15;0;3,5;9;430;7;13;130;1;0,3;0,4;0,1;0;18
Dattel;289;1209,2;2;65;0,5;8,7;6;0;0,2;10;0,1;0,1;2,9;0,8;0,1;5;21;0;3;5;650;65;50;60;1,9;0,3;0,3;0,2;0;1
Eier gekocht;165;690,4;11,4;2;11,2;0;181;2;1,2;35,9;0,1;0,3;2,9;1,3;0,1;20,1;52,1;1,4;0,1;1481;146;64;15;210;1,7;1,2;0,1;0,1;0,1;8,7
Feige;66;276,1;1,3;13,5;0,4;2,5;8;0;0,5;10;0,1;0,1;0,6;0,6;0,1;5;7;0;2,5;2;250;50;20;32;0,6;0,3;0,1;0,1;0;1,5
Gurke;10;41,8;0,6;1,3;0,2;0,7;28;0;0,1;5;0;0;0,3;0,3;0;0,7;20;0;10;8;140;20;9;24;0,5;0,2;0,1;0,2;0;2,5
Haferflocken;384;1606,7;13,5;61,2;7;6,7;0;0;1,5;50;0,6;0,2;3,5;1,1;0,2;20;24;0;0;5;340;50;140;380;4,6;4,4;0,5;4,9;0;4
